aX,aY,aZ,gX,gY,gZ
-2.163,-0.131,-0.507,-24.780,-48.157,31.677
-3.016,0.311,-0.248,-12.329,-40.222,46.326
-2.620,0.862,0.044,3.601,-20.325,29.053
-1.320,1.503,0.495,11.841,-3.662,3.174
0.139,1.790,0.397,17.761,-2.869,-16.785
0.796,1.862,-0.150,22.461,-13.550,-34.241
0.402,1.709,-0.667,8.301,-19.592,-31.006
-0.461,1.936,-1.262,-16.174,-30.151,-4.150
-0.176,1.974,-1.094,-3.113,-32.837,31.677
-0.210,1.170,-0.515,12.512,-27.283,51.941
-0.724,0.624,-0.100,21.240,-18.372,57.190
-1.021,0.324,0.157,27.100,-7.385,53.833
-0.770,0.303,0.207,19.104,-2.197,20.569
-0.455,0.533,-0.065,3.479,-4.333,-13.855
-0.351,0.786,-0.378,-8.728,-5.310,-24.353
-0.330,1.003,-0.494,-10.437,-3.784,-25.391
-0.334,1.146,-0.342,-8.850,0.061,-19.287
-0.301,1.193,-0.199,-6.348,3.479,-11.963
-0.307,1.115,-0.180,-5.005,2.014,-7.263
-0.328,0.932,-0.222,-6.409,-2.258,-7.690
-0.403,0.783,-0.286,-11.047,-5.798,-13.245
-0.493,0.762,-0.293,-15.259,-6.287,-19.897
-0.425,0.847,-0.244,-17.273,-1.892,-25.635
-0.420,0.891,-0.286,-17.212,3.967,-30.579
-0.434,0.955,-0.262,-16.357,7.385,-33.813
-0.351,1.000,-0.292,-15.381,12.756,-37.415
-0.281,0.986,-0.351,-14.954,15.076,-40.466
-0.355,0.902,-0.343,-14.709,8.850,-36.377
-0.454,0.938,-0.320,-15.991,15.015,-41.382
-0.406,1.002,-0.355,-17.212,30.701,-56.396
-0.357,0.994,-0.427,-16.235,35.767,-60.730
-0.268,1.025,-0.452,-11.414,35.889,-56.458
-0.176,1.066,-0.388,-9.521,37.170,-59.509
-0.173,1.080,-0.373,-7.996,36.316,-61.829
-0.194,1.087,-0.362,-4.211,35.461,-58.960
-0.132,1.036,-0.305,-1.465,36.560,-56.946

-0.234,1.275,-0.225,18.433,17.151,34.729
-0.312,1.345,-0.260,16.968,19.958,32.898
-0.262,1.460,-0.288,18.127,26.184,33.020
-0.180,1.529,-0.325,19.226,30.273,32.471
-0.107,1.577,-0.402,17.822,31.921,32.349
-0.017,1.609,-0.457,15.442,33.386,34.363
0.018,1.642,-0.461,13.977,36.499,35.217
0.085,1.651,-0.469,13.489,41.016,36.133
0.137,1.610,-0.486,12.695,45.837,37.109
0.189,1.558,-0.507,12.390,51.453,40.222
0.175,1.499,-0.493,12.207,57.129,47.058
0.109,1.460,-0.465,10.437,61.340,53.467
-0.040,1.466,-0.441,9.460,65.308,56.091
-0.129,1.447,-0.464,8.789,63.049,60.425
-0.165,1.404,-0.514,3.296,49.194,69.214
-0.136,1.528,-0.478,0.305,29.419,76.843
-0.207,1.560,-0.492,0.305,5.066,83.130
-0.335,1.619,-0.518,3.357,-14.771,97.534
-0.657,1.599,-0.535,6.653,-28.992,112.610
-0.970,1.627,-0.497,7.080,-39.734,109.375
-0.869,1.678,-0.576,3.296,-39.063,105.225
-0.676,1.786,-0.583,6.042,-24.231,121.948
-0.617,1.732,-0.620,8.911,-3.906,124.634
-0.620,1.629,-0.625,11.536,19.348,124.817
-0.554,1.450,-0.598,13.245,37.781,124.023
-0.440,1.329,-0.516,9.338,43.335,117.310
-0.372,1.304,-0.458,8.118,41.931,106.628
-0.324,1.256,-0.356,7.874,35.461,98.633
-0.264,1.224,-0.279,8.728,24.902,92.224
-0.223,1.188,-0.215,10.559,13.611,81.970
